REPOSITORY                                                                                                 TAG                                                               IMAGE ID      CREATED             SIZE
<none>                                                                                                     <none>                                                            d6fc0a435ef0  7 minutes ago       134 MB
<none>                                                                                                     <none>                                                            f1f3ca179519  7 minutes ago       134 MB
<none>                                                                                                     <none>                                                            9acaacab2a5a  7 minutes ago       134 MB
<none>                                                                                                     <none>                                                            8b3501d3e44e  7 minutes ago       134 MB
<none>                                                                                                     <none>                                                            9184e466c745  7 minutes ago       134 MB
<none>                                                                                                     <none>                                                            8fbe3e857f94  11 minutes ago      137 MB
<none>                                                                                                     <none>                                                            72e98f6daec4  11 minutes ago      377 MB
<none>                                                                                                     <none>                                                            0d9e700f7223  11 minutes ago      137 MB
<none>                                                                                                     <none>                                                            eca669635854  11 minutes ago      378 MB
<none>                                                                                                     <none>                                                            26a35c706a90  11 minutes ago      333 MB
<none>                                                                                                     <none>                                                            2790b4e8cba7  11 minutes ago      377 MB
<none>                                                                                                     <none>                                                            6afe72c88cb1  11 minutes ago      134 MB
<none>                                                                                                     <none>                                                            7c060b625db9  11 minutes ago      333 MB
<none>                                                                                                     <none>                                                            f1e773b0ada5  11 minutes ago      134 MB
<none>                                                                                                     <none>                                                            0afd5f21596e  11 minutes ago      134 MB
<none>                                                                                                     <none>                                                            533f0aafe5b7  11 minutes ago      134 MB
<none>                                                                                                     <none>                                                            825c6511c254  11 minutes ago      137 MB
<none>                                                                                                     <none>                                                            0d16cf051712  11 minutes ago      137 MB
<none>                                                                                                     <none>                                                            b87f757b9db4  11 minutes ago      137 MB
<none>                                                                                                     <none>                                                            b25e45d0105c  11 minutes ago      137 MB
<none>                                                                                                     <none>                                                            dfc9daffc73a  11 minutes ago      137 MB
<none>                                                                                                     <none>                                                            4d9a08fd470d  11 minutes ago      134 MB
<none>                                                                                                     <none>                                                            369342c54d19  11 minutes ago      134 MB
<none>                                                                                                     <none>                                                            00c0476bacbc  11 minutes ago      134 MB
<none>                                                                                                     <none>                                                            653a3165f864  11 minutes ago      134 MB
<none>                                                                                                     <none>                                                            4ca914921f19  12 minutes ago      378 MB
<none>                                                                                                     <none>                                                            a9c68f6f2d04  12 minutes ago      137 MB
<none>                                                                                                     <none>                                                            8f808d36574a  12 minutes ago      137 MB
<none>                                                                                                     <none>                                                            36f54460ac12  12 minutes ago      377 MB
<none>                                                                                                     <none>                                                            6b7972ec1e15  12 minutes ago      420 MB
<none>                                                                                                     <none>                                                            8313c10b193f  12 minutes ago      333 MB
<none>                                                                                                     <none>                                                            df236496c2ba  12 minutes ago      377 MB
<none>                                                                                                     <none>                                                            a8252b5f2cf1  12 minutes ago      134 MB
<none>                                                                                                     <none>                                                            9e125fdd4345  12 minutes ago      134 MB
<none>                                                                                                     <none>                                                            a97055c94ab8  12 minutes ago      333 MB
<none>                                                                                                     <none>                                                            8178c0eb15e8  12 minutes ago      134 MB
<none>                                                                                                     <none>                                                            1a8ca55c3b31  12 minutes ago      134 MB
<none>                                                                                                     <none>                                                            7cb74b9354e5  12 minutes ago      137 MB
<none>                                                                                                     <none>                                                            e76e35e8c975  12 minutes ago      137 MB
<none>                                                                                                     <none>                                                            2a4cac659324  12 minutes ago      137 MB
<none>                                                                                                     <none>                                                            69bd76ca69bf  12 minutes ago      137 MB
<none>                                                                                                     <none>                                                            23c63c6f605c  12 minutes ago      137 MB
<none>                                                                                                     <none>                                                            a56f2a07067c  12 minutes ago      134 MB
<none>                                                                                                     <none>                                                            244177670680  12 minutes ago      134 MB
<none>                                                                                                     <none>                                                            8d8668e154ec  12 minutes ago      134 MB
<none>                                                                                                     <none>                                                            a785882f9a5f  12 minutes ago      134 MB
docker.io/library/5ec8f9f10fd850d698778838dff8c66bce633194d20a25b53012a0fee2f0f4f4-tmp                     latest                                                            8ee77bb4a96b  14 minutes ago      420 MB
<none>                                                                                                     <none>                                                            69fccb799da4  14 minutes ago      137 MB
<none>                                                                                                     <none>                                                            57a0bf9ac5af  14 minutes ago      137 MB
<none>                                                                                                     <none>                                                            0aa794fac653  14 minutes ago      377 MB
<none>                                                                                                     <none>                                                            3a49628af7b3  14 minutes ago      378 MB
<none>                                                                                                     <none>                                                            8a11c86c96d8  14 minutes ago      377 MB
<none>                                                                                                     <none>                                                            4ee11b770d8d  14 minutes ago      333 MB
<none>                                                                                                     <none>                                                            ea6cf736367c  14 minutes ago      333 MB
<none>                                                                                                     <none>                                                            e8effe775999  14 minutes ago      137 MB
<none>                                                                                                     <none>                                                            0a88533520b4  14 minutes ago      137 MB
<none>                                                                                                     <none>                                                            ced677cf3e00  14 minutes ago      137 MB
<none>                                                                                                     <none>                                                            835fcf0b68eb  14 minutes ago      134 MB
<none>                                                                                                     <none>                                                            47c37aba9cbc  14 minutes ago      137 MB
<none>                                                                                                     <none>                                                            164f6352910e  14 minutes ago      134 MB
<none>                                                                                                     <none>                                                            09505eb97132  14 minutes ago      137 MB
<none>                                                                                                     <none>                                                            012adef17bf1  14 minutes ago      134 MB
<none>                                                                                                     <none>                                                            97af30cf40ca  14 minutes ago      134 MB
<none>                                                                                                     <none>                                                            950c3cc1fe60  14 minutes ago      134 MB
<none>                                                                                                     <none>                                                            9292d87d725a  14 minutes ago      134 MB
<none>                                                                                                     <none>                                                            63f4e9c6b50a  14 minutes ago      134 MB
<none>                                                                                                     <none>                                                            0338e7cfa88f  14 minutes ago      134 MB
<none>                                                                                                     <none>                                                            4e1d63c530cd  25 minutes ago      139 MB
<none>                                                                                                     <none>                                                            681c744c674a  25 minutes ago      139 MB
<none>                                                                                                     <none>                                                            15ed0996903b  25 minutes ago      139 MB
<none>                                                                                                     <none>                                                            eab88506cb28  25 minutes ago      139 MB
<none>                                                                                                     <none>                                                            1f01d5e433c4  25 minutes ago      139 MB
<none>                                                                                                     <none>                                                            cac67fd0b897  25 minutes ago      139 MB
<none>                                                                                                     <none>                                                            057fb369284c  25 minutes ago      139 MB
<none>                                                                                                     <none>                                                            ff3a65534697  25 minutes ago      139 MB
<none>                                                                                                     <none>                                                            8140f5b4e5ab  25 minutes ago      139 MB
<none>                                                                                                     <none>                                                            57673c92a5ea  25 minutes ago      139 MB
<none>                                                                                                     <none>                                                            b028730093bc  25 minutes ago      139 MB
<none>                                                                                                     <none>                                                            854025d4e725  25 minutes ago      139 MB
<none>                                                                                                     <none>                                                            2d1240683c4a  25 minutes ago      139 MB
<none>                                                                                                     <none>                                                            076208174bdf  25 minutes ago      139 MB
<none>                                                                                                     <none>                                                            30343e0fd1f4  25 minutes ago      139 MB
<none>                                                                                                     <none>                                                            1c1a8bc47e30  26 minutes ago      629 MB
<none>                                                                                                     <none>                                                            96e90045217c  43 minutes ago      629 MB
<none>                                                                                                     <none>                                                            eeca12ca75b6  43 minutes ago      333 MB
<none>                                                                                                     <none>                                                            74be0e445ff9  43 minutes ago      137 MB
<none>                                                                                                     <none>                                                            4e1994a6167b  43 minutes ago      137 MB
<none>                                                                                                     <none>                                                            717e0e07378f  43 minutes ago      134 MB
localhost/vsc-ophyd-async-2b030338f856de8c530bc86b78731e0b29e64e7488e7a3bc24845d337eeddc1a                 latest                                                            e3663a9dd0d1  19 hours ago        1.05 GB
<none>                                                                                                     <none>                                                            3ebbae123c28  19 hours ago        1.05 GB
<none>                                                                                                     <none>                                                            3df2494afb3d  19 hours ago        1.04 GB
<none>                                                                                                     <none>                                                            5c2e080f202e  19 hours ago        1.04 GB
<none>                                                                                                     <none>                                                            05b9eebb0877  19 hours ago        1.04 GB
<none>                                                                                                     <none>                                                            772e1c2510b0  19 hours ago        1.04 GB
<none>                                                                                                     <none>                                                            531c6e106afd  19 hours ago        1.02 GB
localhost/vsc-i22-bluesky-6499c0844a1ec5f487f55b1881daf218f378466d9cfec9a8ea52fdf045699ac0                 latest                                                            2cfd7b8444e3  3 days ago          1.22 GB
<none>                                                                                                     <none>                                                            03c44a5337b0  3 days ago          1.22 GB
<none>                                                                                                     <none>                                                            16be4ff45f95  3 days ago          1.22 GB
<none>                                                                                                     <none>                                                            88f43e1c5909  3 days ago          1.22 GB
<none>                                                                                                     <none>                                                            650fb4718365  3 days ago          1.09 GB
<none>                                                                                                     <none>                                                            17124552a2e7  3 days ago          1.09 GB
<none>                                                                                                     <none>                                                            187de2acb58c  3 days ago          1.09 GB
<none>                                                                                                     <none>                                                            111384b7eaab  3 days ago          1.09 GB
<none>                                                                                                     <none>                                                            c797ca9f52f7  3 days ago          1.09 GB
<none>                                                                                                     <none>                                                            ec914a713508  3 days ago          1.09 GB
<none>                                                                                                     <none>                                                            0447e8656e47  3 days ago          1.09 GB
<none>                                                                                                     <none>                                                            c387a2dff125  3 days ago          1.07 GB
<none>                                                                                                     <none>                                                            436e0ba7cddc  3 days ago          1.07 GB
localhost/vsc-j20-bluesky-55eae4948f07ab4cb2bdcd75865f3450c0932afd1550044b6a40895b2dbbd99e                 latest                                                            35042cf489db  4 days ago          1.21 GB
<none>                                                                                                     <none>                                                            bf561cf802d4  4 days ago          1.21 GB
<none>                                                                                                     <none>                                                            626bf317eadf  4 days ago          1.21 GB
<none>                                                                                                     <none>                                                            d36558075bd2  4 days ago          1.21 GB
<none>                                                                                                     <none>                                                            e908fadaec98  4 days ago          1.08 GB
<none>                                                                                                     <none>                                                            a362951f1fbf  4 days ago          1.08 GB
<none>                                                                                                     <none>                                                            403e5aa2a8a0  4 days ago          1.08 GB
<none>                                                                                                     <none>                                                            4122e8c3920f  4 days ago          1.08 GB
<none>                                                                                                     <none>                                                            a14a83dba6b0  4 days ago          1.08 GB
<none>                                                                                                     <none>                                                            5e2c60cb0021  4 days ago          1.08 GB
<none>                                                                                                     <none>                                                            98ac6081b877  4 days ago          1.08 GB
<none>                                                                                                     <none>                                                            99d18f315f8a  4 days ago          1.06 GB
<none>                                                                                                     <none>                                                            e13fffd1d56a  4 days ago          1.06 GB
docker.io/library/docker                                                                                   latest                                                            e5fbe8997fd9  10 days ago         350 MB
hub.docker.com/image                                                                                       37901176dc15983224d6edb168970a528c13ae978c1505726bc620b4165fc211  3eec25920e0d  10 days ago         136 MB
<none>                                                                                                     <none>                                                            ba3fd05752ac  10 days ago         136 MB
hub.docker.com/base                                                                                        e06dc33884aafa3da7d6820cfe6cb3c41f9a790b4f47e3b56e414005e5147edf  809f8f81d17d  10 days ago         131 MB
localhost/vsc-plz-go-getting-started-64240c17bb801250ffb9d6c404565d70f803091cffabfd3b8ab6f7732d33516c      latest                                                            71bf3364f4a3  10 days ago         986 MB
<none>                                                                                                     <none>                                                            e91f70e7bf69  10 days ago         986 MB
<none>                                                                                                     <none>                                                            df402322dbfb  10 days ago         986 MB
<none>                                                                                                     <none>                                                            8f722fd7863e  10 days ago         986 MB
localhost/vsc-plz-k8s-and-docker-cbaa8f26e740de5b859b463e971c43594be27acb455b6815c2024c19df611f97          latest                                                            f63c0dedb05f  11 days ago         986 MB
<none>                                                                                                     <none>                                                            2737414079f6  11 days ago         986 MB
<none>                                                                                                     <none>                                                            c086f8d180ed  11 days ago         986 MB
<none>                                                                                                     <none>                                                            0b466b169547  11 days ago         986 MB
<none>                                                                                                     <none>                                                            e07799d77115  11 days ago         847 MB
<none>                                                                                                     <none>                                                            6bb46294a8ac  11 days ago         847 MB
<none>                                                                                                     <none>                                                            50ec39f90862  11 days ago         847 MB
<none>                                                                                                     <none>                                                            ddda9de31fc1  11 days ago         847 MB
<none>                                                                                                     <none>                                                            edb2ccd1915e  11 days ago         847 MB
<none>                                                                                                     <none>                                                            6baa3d5fe69e  11 days ago         847 MB
<none>                                                                                                     <none>                                                            b9cc65c4378e  11 days ago         847 MB
<none>                                                                                                     <none>                                                            520b06574c15  11 days ago         847 MB
<none>                                                                                                     <none>                                                            823ccb041965  11 days ago         1.21 GB
<none>                                                                                                     <none>                                                            ecde637d81a6  11 days ago         1.21 GB
<none>                                                                                                     <none>                                                            f7ca78611bea  11 days ago         1.21 GB
<none>                                                                                                     <none>                                                            c05b5f4bdc45  11 days ago         1.21 GB
<none>                                                                                                     <none>                                                            9bab78ea0582  11 days ago         1.08 GB
<none>                                                                                                     <none>                                                            e355841280c6  11 days ago         1.08 GB
<none>                                                                                                     <none>                                                            1eb3f2fe13da  11 days ago         1.08 GB
<none>                                                                                                     <none>                                                            9d71d9f4ff80  11 days ago         1.08 GB
<none>                                                                                                     <none>                                                            2b9c61c1f9e3  11 days ago         1.08 GB
<none>                                                                                                     <none>                                                            ea5d4cb21004  11 days ago         1.08 GB
<none>                                                                                                     <none>                                                            c7171203e55c  11 days ago         1.08 GB
<none>                                                                                                     <none>                                                            2b56d19afc8c  11 days ago         1.06 GB
<none>                                                                                                     <none>                                                            5f3d1a0472f7  11 days ago         1.06 GB
localhost/vsc-plz-python-getting-started-0049db5fb106512bfce51fe91dcbacefc76e6357e5d14305e5eb48296f1fda1d  latest                                                            a2fee2f0cede  11 days ago         1.21 GB
<none>                                                                                                     <none>                                                            9a313a110b04  11 days ago         1.21 GB
<none>                                                                                                     <none>                                                            b2b63d62d338  11 days ago         1.21 GB
<none>                                                                                                     <none>                                                            e1f9d583a533  11 days ago         1.21 GB
localhost/vsc-pants-monorepo-test-c30f8febd1d9a9877b853cd2904d14fbf6343f0e5bba51d65e056e7232bf037c         latest                                                            7bbe8c93c1b2  11 days ago         1.21 GB
<none>                                                                                                     <none>                                                            9a1dc8bd41d2  11 days ago         1.21 GB
<none>                                                                                                     <none>                                                            4005e448d122  11 days ago         1.21 GB
<none>                                                                                                     <none>                                                            7be37c9b3a35  11 days ago         1.21 GB
localhost/vsc-agamemnon-1bd5525a035e1179990845a82be6f3f238e1faece5f86692ff5656bd2b8cf3fa                   latest                                                            d5241379efb1  2 weeks ago         3.1 GB
<none>                                                                                                     <none>                                                            a4890d583f49  2 weeks ago         3.1 GB
<none>                                                                                                     <none>                                                            d95f81c840e4  2 weeks ago         3.1 GB
<none>                                                                                                     <none>                                                            98707622f296  2 weeks ago         3.1 GB
<none>                                                                                                     <none>                                                            ae19a278031f  2 weeks ago         3.1 GB
<none>                                                                                                     <none>                                                            da7642bc0c37  2 weeks ago         3.1 GB
<none>                                                                                                     <none>                                                            1e659a1bbde2  2 weeks ago         3.1 GB
<none>                                                                                                     <none>                                                            fdaa49ae42a0  2 weeks ago         3.1 GB
<none>                                                                                                     <none>                                                            dc333092b30a  2 weeks ago         3.1 GB
<none>                                                                                                     <none>                                                            6a93cd7b6cc5  2 weeks ago         3.1 GB
<none>                                                                                                     <none>                                                            9b1a6512ffbc  2 weeks ago         3.1 GB
<none>                                                                                                     <none>                                                            2e94ece798f2  2 weeks ago         3.1 GB
<none>                                                                                                     <none>                                                            4b70afc47713  2 weeks ago         3.1 GB
<none>                                                                                                     <none>                                                            3208d95dcb37  2 weeks ago         3.1 GB
<none>                                                                                                     <none>                                                            e2127cf84713  2 weeks ago         3.1 GB
<none>                                                                                                     <none>                                                            7c9288816dbc  2 weeks ago         3.1 GB
<none>                                                                                                     <none>                                                            57ef99f385d0  2 weeks ago         2.95 GB
<none>                                                                                                     <none>                                                            4fa4beae32ed  2 weeks ago         2.39 GB
<none>                                                                                                     <none>                                                            2ac30b961834  2 weeks ago         2.39 GB
localhost/vsc-blueapi-37cd262e2f1533a2b031edceb3e52ecac9ec9531713ee3303ab1137102823284                     latest                                                            1a7a3986455c  2 weeks ago         1.21 GB
<none>                                                                                                     <none>                                                            ee5a20063da6  2 weeks ago         1.21 GB
<none>                                                                                                     <none>                                                            a8df1f6f67b4  2 weeks ago         1.21 GB
<none>                                                                                                     <none>                                                            d9efca841fe5  2 weeks ago         1.21 GB
localhost/vsc-dodal-2f9ebfd8127ed952d4f1ef239eb043dd06a700cf1d0306019331f2b962d370ec                       latest                                                            a52980772748  2 weeks ago         1.39 GB
<none>                                                                                                     <none>                                                            095d2b0d34cd  2 weeks ago         1.39 GB
<none>                                                                                                     <none>                                                            0ed83e0bce8a  2 weeks ago         1.39 GB
<none>                                                                                                     <none>                                                            96ff14bab469  2 weeks ago         1.39 GB
<none>                                                                                                     <none>                                                            7a7798e64da8  2 weeks ago         1.26 GB
<none>                                                                                                     <none>                                                            3bf7a0ff4835  2 weeks ago         1.26 GB
<none>                                                                                                     <none>                                                            72d5f84a34df  2 weeks ago         1.26 GB
<none>                                                                                                     <none>                                                            5103baa8bd47  2 weeks ago         1.26 GB
<none>                                                                                                     <none>                                                            9ccc064fd589  2 weeks ago         1.26 GB
<none>                                                                                                     <none>                                                            00d4b7bfc087  2 weeks ago         1.26 GB
<none>                                                                                                     <none>                                                            5c3582af9c6b  2 weeks ago         1.26 GB
<none>                                                                                                     <none>                                                            228efca23d98  2 weeks ago         1.24 GB
<none>                                                                                                     <none>                                                            5ed691010c09  2 weeks ago         1.24 GB
localhost/vsc-developer-guide-f78b41055c02b088f70b84719cf5dede497eb3c5c274054c34fdd4a20f350143             latest                                                            f5abf7cb78f2  2 weeks ago         1.29 GB
<none>                                                                                                     <none>                                                            27f2663d4d9f  2 weeks ago         1.29 GB
<none>                                                                                                     <none>                                                            ecd3a2636092  2 weeks ago         1.29 GB
<none>                                                                                                     <none>                                                            b84972c9068c  2 weeks ago         1.29 GB
<none>                                                                                                     <none>                                                            4251724dc2b7  2 weeks ago         1.21 GB
localhost/vsc-blueapi-e1212f9fe9e7881aac8a456dd76bd2330bd98d9e5d47592f4715d07c97d30409                     latest                                                            9c318df4ec6c  2 weeks ago         1.21 GB
<none>                                                                                                     <none>                                                            b1e728aa3603  2 weeks ago         1.21 GB
<none>                                                                                                     <none>                                                            5bb7b84b0c65  2 weeks ago         1.21 GB
<none>                                                                                                     <none>                                                            75e823c7ce7b  2 weeks ago         1.08 GB
<none>                                                                                                     <none>                                                            65c400dc7511  2 weeks ago         1.08 GB
<none>                                                                                                     <none>                                                            ebee733fb8b8  2 weeks ago         1.08 GB
<none>                                                                                                     <none>                                                            a6fd63ac4811  2 weeks ago         1.08 GB
<none>                                                                                                     <none>                                                            35f4065dabec  2 weeks ago         1.08 GB
<none>                                                                                                     <none>                                                            af26f7a4aec5  2 weeks ago         1.08 GB
<none>                                                                                                     <none>                                                            5bc50e22604e  2 weeks ago         1.08 GB
<none>                                                                                                     <none>                                                            c66728c5cd76  2 weeks ago         1.06 GB
<none>                                                                                                     <none>                                                            011c9d831607  2 weeks ago         1.06 GB
docker.io/library/node                                                                                     18-alpine                                                         24d8fcd7167f  2 weeks ago         134 MB
<none>                                                                                                     <none>                                                            adfc9ce8d3a3  2 weeks ago         2.91 GB
localhost/vsc-agamemnon-b4952644db1e8d74ef3891ecba6d6e473bd2468489a557cd184fe255aec6410c                   latest                                                            186af40882fd  2 weeks ago         2.91 GB
<none>                                                                                                     <none>                                                            705f291aa3bb  2 weeks ago         2.91 GB
<none>                                                                                                     <none>                                                            8b9847ec4f1d  2 weeks ago         2.91 GB
<none>                                                                                                     <none>                                                            759d70c1ddf7  2 weeks ago         2.91 GB
<none>                                                                                                     <none>                                                            3e07115ceeed  2 weeks ago         2.91 GB
<none>                                                                                                     <none>                                                            c655240c123a  2 weeks ago         2.91 GB
<none>                                                                                                     <none>                                                            f883532e9d02  2 weeks ago         2.91 GB
<none>                                                                                                     <none>                                                            b2d812704012  2 weeks ago         2.91 GB
<none>                                                                                                     <none>                                                            064b5e0d4bf9  2 weeks ago         2.91 GB
<none>                                                                                                     <none>                                                            7ffc9c58d1fb  2 weeks ago         2.91 GB
<none>                                                                                                     <none>                                                            9a8606de8bbe  2 weeks ago         2.91 GB
<none>                                                                                                     <none>                                                            4663645ffe00  2 weeks ago         2.91 GB
<none>                                                                                                     <none>                                                            87e9a2ea4b87  2 weeks ago         2.91 GB
<none>                                                                                                     <none>                                                            5244ce750ff0  2 weeks ago         2.91 GB
<none>                                                                                                     <none>                                                            8b15373bf748  2 weeks ago         2.91 GB
<none>                                                                                                     <none>                                                            107e55ca6c65  2 weeks ago         2.77 GB
<none>                                                                                                     <none>                                                            76d32e3fe385  2 weeks ago         2.21 GB
<none>                                                                                                     <none>                                                            9576e06d1a2a  2 weeks ago         2.21 GB
<none>                                                                                                     <none>                                                            e08d5fdb9a67  2 weeks ago         1.76 GB
<none>                                                                                                     <none>                                                            4f9be0f1d74b  2 weeks ago         1.76 GB
<none>                                                                                                     <none>                                                            139f52c8573b  2 weeks ago         1.02 GB
<none>                                                                                                     <none>                                                            83f7298f3003  2 weeks ago         1.02 GB
<none>                                                                                                     <none>                                                            5e8c354ad2cc  2 weeks ago         1.18 GB
<none>                                                                                                     <none>                                                            9d042fed6b49  2 weeks ago         1.18 GB
<none>                                                                                                     <none>                                                            8eba4ef5a1f4  2 weeks ago         1.18 GB
<none>                                                                                                     <none>                                                            381fcbab5a8f  2 weeks ago         1.18 GB
<none>                                                                                                     <none>                                                            caf4769a5079  2 weeks ago         1.18 GB
<none>                                                                                                     <none>                                                            be2adc9d21a0  2 weeks ago         1.18 GB
<none>                                                                                                     <none>                                                            58a53ee2fef0  2 weeks ago         1.18 GB
<none>                                                                                                     <none>                                                            24db96b07a96  2 weeks ago         1.18 GB
<none>                                                                                                     <none>                                                            b44dc1ca1a00  2 weeks ago         1.18 GB
<none>                                                                                                     <none>                                                            db3416cebea9  2 weeks ago         1.18 GB
<none>                                                                                                     <none>                                                            3879c7d9348e  2 weeks ago         1.18 GB
<none>                                                                                                     <none>                                                            230e0d1e81f7  2 weeks ago         1.18 GB
<none>                                                                                                     <none>                                                            e37c8eec8aaa  2 weeks ago         1.02 GB
<none>                                                                                                     <none>                                                            7268fc7dc20b  2 weeks ago         1.02 GB
docker.io/library/ubuntu                                                                                   22.04                                                             3db8720ecbf5  2 weeks ago         80.4 MB
<none>                                                                                                     <none>                                                            f4ebc6469702  3 weeks ago         1.18 GB
<none>                                                                                                     <none>                                                            e2e2a086d57a  3 weeks ago         1.18 GB
<none>                                                                                                     <none>                                                            ec8e0ec8b78c  3 weeks ago         1.18 GB
<none>                                                                                                     <none>                                                            012e206622bc  3 weeks ago         1.18 GB
<none>                                                                                                     <none>                                                            1c39c9e7aa39  3 weeks ago         1.02 GB
<none>                                                                                                     <none>                                                            98ad8e1907ef  3 weeks ago         1.02 GB
docker.io/library/golang                                                                                   1.22.0-bookworm                                                   0c4ed86491a4  3 weeks ago         847 MB
localhost/vsc-davidia-d9126541bd708c2a4bab5b8e795fa1972561a8b735728256491a0c0e7699d5d8                     latest                                                            124a49325cb1  3 weeks ago         155 MB
<none>                                                                                                     <none>                                                            300ca839eea0  3 weeks ago         155 MB
<none>                                                                                                     <none>                                                            a902c717e24d  3 weeks ago         155 MB
<none>                                                                                                     <none>                                                            7592bd99f5e3  3 weeks ago         139 MB
